,opponent_name,levski_goals,opponent_goals,result,coach,hosted,scorers,date,tournament,top_scorer,no_of_penalties
110,Литекс (Ловеч),1,0,win,Илиан Илиев,True,['Гари Родригес'],2013-03-13,Купа на България,Гари Родригес,0
111,Литекс (Ловеч),1,2,loss,Илиан Илиев,False,"['Дъстли Мюлдер', 'Георги Миланов', 'Исмаил Иса']",2013-04-03,Купа на България,Георги Миланов,0
112,Локомотив (София),3,1,win,Николай Митов,True,"['Гари Родригес', 'Гари Родригес', 'Димитър Илиев', 'Стефан Велев']",2013-04-17,Купа на България,Гари Родригес,0
113,Локомотив (София),0,0,tie,Николай Митов,False,,2013-04-24,Купа на България,,0
114,Сараево,1,0,win,Илиан Илиев,True,['Симеон Райков'],2012-07-19,Лига Европа,Симеон Райков,0
115,Сараево,1,3,loss,Илиан Илиев,False,"['Саид Хюсеинович', 'Асмир Сулич', 'Базиле де Карвальо', 'Саид Хюсеинович']",2012-07-26,Лига Европа,Саид Хюсеинович,0
116,Ботев (Пловдив),1,2,loss,Викторио Павлов,False,"['Гари Родригес', 'Тодор Неделев', 'Тодор Неделев']",2013-07-21,"""А"" Футболна група - първи етап",Тодор Неделев,0
117,Локомотив 1926 (Пловдив),1,2,loss,Славиша Йоканович,True,"[""Аласан Н'Диайе"", 'Цветан Генков', 'Мартин Камбуров']",2013-07-28,"""А"" Футболна група - първи етап",Аласан Н'Диайе,0
118,Пирин (Гоце Делчев),2,0,win,Славиша Йоканович,False,"['Цветан Генков', 'Гари Родригес']",2013-08-04,"""А"" Футболна група - първи етап",Гари Родригес,0
119,Берое (Стара Загора),0,0,tie,Славиша Йоканович,True,,2013-08-11,"""А"" Футболна група - първи етап",,0
120,Литекс (Ловеч),1,1,tie,Славиша Йоканович,False,"['Гари Родригес', 'Вилмар Хордан Хил']",2013-08-18,"""А"" Футболна група - първи етап",Вилмар Хордан Хил,0
121,Черно море (Варна),1,1,tie,Славиша Йоканович,True,"['Гари Родригес', 'Симеон Райков']",2013-08-25,"""А"" Футболна група - първи етап",Гари Родригес,0
122,Любимец 2007 (Любимец),2,0,win,Славиша Йоканович,False,"['Цветан Генков', 'Антонио Вутов']",2013-09-01,"""А"" Футболна група - първи етап",Цветан Генков,0
123,Лудогорец 1945 (Разград),0,2,loss,Славиша Йоканович,True,,2013-09-15,"""А"" Футболна група - първи етап",,0
124,Черноморец Бургас (Бургас),3,1,win,Славиша Йоканович,False,"['Мирослав Иванов', 'Карлос Фонсека', 'Оливейра (аг)', 'Гари Родригес']",2013-09-21,"""А"" Футболна група - първи етап",Мирослав Иванов,0
125,Нефтохимик 1962 (Бургас),6,0,win,Славиша Йоканович,True,"['Даниел Димов', 'Мирослав Иванов', 'Пламен Димов', 'Даниел Димов', 'Владимир Гаджев', 'Владимир Гаджев']",2013-09-25,"""А"" Футболна група - първи етап",Владимир Гаджев,0
126,Славия 1913 (София),1,0,win,Славиша Йоканович,False,['Ларсен Туре'],2013-09-28,"""А"" Футболна група - първи етап",Ларсен Туре,0
127,Локомотив (София),0,0,tie,Славиша Йоканович,True,,2013-10-04,"""А"" Футболна група - първи етап",,0
128,ЦСКА (София),0,3,loss,Антони Здравков,False,,2013-10-19,"""А"" Футболна група - първи етап",,0
129,Ботев (Пловдив),1,0,win,Антони Здравков,True,['Гари Родригес'],2013-10-26,"""А"" Футболна група - първи етап",Гари Родригес,0
130,Локомотив 1926 (Пловдив),3,2,win,Антони Здравков,False,"['Владимир Гаджев', 'Дани Кики', 'Гари Родригес', 'Стелиос Илиадис', 'Цветан Генков']",2013-10-31,"""А"" Футболна група - първи етап",Гари Родригес,0
131,Пирин (Гоце Делчев),4,1,win,Антони Здравков,True,"['Димитър Макриев', 'Гари Родригес', 'Димитър Макриев', 'Костадин Башов (д)', 'Илиян Йорданов']",2013-11-03,"""А"" Футболна група - първи етап",Димитър Макриев,1
132,Берое (Стара Загора),0,1,loss,Антони Здравков,False,,2013-11-09,"""А"" Футболна група - първи етап",,0
133,Литекс (Ловеч),4,1,win,Антони Здравков,True,"['Даниел Димов', 'Орлин Старокин', 'Кевин Бру', 'Вилмар Хордан Хил', 'Орлин Старокин']",2013-11-23,"""А"" Футболна група - първи етап",Орлин Старокин,0
134,Черно море (Варна),1,2,loss,Антони Здравков,False,"['Георги Илиев', 'Бакари', 'Ларсен Туре']",2013-11-30,"""А"" Футболна група - първи етап",Ларсен Туре,0
135,Любимец 2007 (Любимец),3,0,win,Антони Здравков,True,"['Славчо Шоколаров (аг)', 'Гари Родригес', 'Антонио Вутов']",2013-12-04,"""А"" Футболна група - първи етап",Гари Родригес,0
136,Лудогорец 1945 (Разград),1,0,win,Антони Здравков,False,['Ларсен Туре'],2013-12-07,"""А"" Футболна група - първи етап",Ларсен Туре,0
137,Черноморец Бургас (Бургас),2,0,win,Антони Здравков,True,"['Ларсен Туре', 'Димитър Макриев']",2013-12-12,"""А"" Футболна група - първи етап",Димитър Макриев,0
138,Нефтохимик 1962 (Бургас),6,1,win,Антони Здравков,False,"['Орлин Старокин', 'Димитър Макриев', 'Димитър Макриев', 'Гари Родригес', 'Алехандро Перес', 'Гари Родригес', 'Илиян Йорданов']",2013-12-15,"""А"" Футболна група - първи етап",Гари Родригес,0
139,Славия 1913 (София),2,2,tie,Антони Здравков,True,"['Атанас Курдов', 'Димитър Макриев', 'Кире Ристевски', 'Пламен Крумов']",2014-02-22,"""А"" Футболна група - първи етап",Пламен Крумов,0
140,Локомотив (София),0,1,loss,Антони Здравков,False,,2014-02-28,"""А"" Футболна група - първи етап",,0
141,ЦСКА (София),0,1,loss,Антони Здравков,False,,2014-03-08,"""А"" Футболна група - първи етап",,0
142,ЦСКА (София),0,1,loss,Антони Здравков,False,,2014-03-15,"""А"" Футболна група - втори етап",,0
143,Ботев (Пловдив),2,0,win,Елин Топузаков,True,"['Даниел Димов', 'Димитър Макриев']",2014-03-22,"""А"" Футболна група - втори етап",Димитър Макриев,0
144,Локомотив 1926 (Пловдив),2,0,win,Елин Топузаков,False,"['Валери Божинов', 'Владимир Гаджев']",2014-03-27,"""А"" Футболна група - втори етап",Валери Божинов,0
145,Черно море (Варна),1,0,win,Елин Топузаков,True,['Даниел Димов'],2014-04-06,"""А"" Футболна група - втори етап",Даниел Димов,0
146,Лудогорец 1945 (Разград),0,2,loss,Елин Топузаков,False,,2014-04-09,"""А"" Футболна група - втори етап",,0
147,Литекс (Ловеч),1,2,loss,Елин Топузаков,True,"['Армандо Ваюши', 'Румен Руменов', 'Владислав Мисяк']",2014-04-12,"""А"" Футболна група - втори етап",Румен Руменов,0
148,ЦСКА (София),1,3,loss,Елин Топузаков,False,"['Омар Косоко', 'Радослав Цонев', 'Иван Стоянов', 'Иван Маркович']",2014-04-21,"""А"" Футболна група - втори етап",Радослав Цонев,0
149,Ботев (Пловдив),0,2,loss,Елин Топузаков,False,,2014-04-26,"""А"" Футболна група - втори етап",,0
150,Локомотив 1926 (Пловдив),2,1,win,Елин Топузаков,True,"['Цветан Генков', 'Валери Божинов', 'Мартин Камбуров']",2014-05-01,"""А"" Футболна група - втори етап",Мартин Камбуров,0
151,Черно море (Варна),2,1,win,Елин Топузаков,False,"['Владимир Гаджев', 'Валери Домовчийски', 'Валери Божинов']",2014-05-07,"""А"" Футболна група - втори етап",Валери Божинов,0
152,Лудогорец 1945 (Разград),2,3,loss,Елин Топузаков,True,"['Валери Божинов', 'Себастиан Ернандес', 'Христо Златински', 'Жуниньо Кишада', 'Дани Абало', 'Валери Божинов']",2014-05-11,"""А"" Футболна група - втори етап",Валери Божинов,0
153,Литекс (Ловеч),1,0,win,Елин Топузаков,False,"['Валери Божинов', 'Вилмар Хордан Хил']",2014-05-17,"""А"" Футболна група - втори етап",Валери Божинов,0
154,Пирин (Гоце Делчев),4,0,win,Славиша Йоканович,True,"['Антонио Вутов', 'Гари Родригес', 'Илиян Йорданов', 'Борислав Цонев']",2013-09-18,Купа на България,Илиян Йорданов,0
155,Пирин (Гоце Делчев),5,0,win,Антони Здравков,False,"['Орлин Старокин', 'Гари Родригес', 'Цветан Генков', 'Гари Родригес', 'Цветан Генков']",2013-10-12,Купа на България,Гари Родригес,0
156,ЦСКА (София),0,0,tie,Антони Здравков,False,,2013-11-16,Купа на България,,0
157,Ботев (Пловдив),3,1,win,Антони Здравков,True,"['Феребори Доре', 'Адам Стаховяк (аг)', 'Дъстли Мюлдер', 'Валери Божинов']",2014-03-12,Купа на България,Феребори Доре,0
158,Ботев (Пловдив),0,2,loss,Антони Здравков,False,,2014-03-19,Купа на България,,0
159,Иртиш (Павлодар),0,0,tie,Николай Митов,True,,2013-07-04,Лига Европа,,0
160,Иртиш (Павлодар),0,2,loss,Николай Митов,False,,2013-07-11,Лига Европа,,0
161,Локомотив 1926 (Пловдив),1,1,tie,Хосе Мурсия,True,"['Благой Наков', 'Валери Домовчийски']",2014-07-19,"""А"" Футболна група - първи етап",Валери Домовчийски,0
162,ЦСКА (София),0,2,loss,Хосе Мурсия,False,,2014-07-27,"""А"" Футболна група - първи етап",,0
163,Локомотив (София),1,0,win,Хосе Мурсия,True,['Роман Прохазка'],2014-08-02,"""А"" Футболна група - първи етап",Роман Прохазка,0
164,Берое (Стара Загора),1,2,loss,Георги Иванов,False,"['Жуниор Мапуку', 'Жуниор Мапуку', 'Валери Домовчийски']",2014-08-10,"""А"" Футболна група - първи етап",Жуниор Мапуку,0
